attack_cat,proto,service,src_ip,dst_port,sbytes,dbytes,attack_score,label,financial_proxy_id
Exploits,tcp,http,185.220.101.34,80,98765,450,92,1,TXN-CIC-00001
Fuzzers,udp,-,91.219.236.90,443,45000,0,78,1,TXN-CIC-00002
DoS,tcp,ftp,185.143.223.75,21,230000,1200,88,1,TXN-CIC-00003
Reconnaissance,tcp,ssh,91.234.99.42,22,1200,800,72,1,TXN-CIC-00004
Backdoors,tcp,http,91.240.118.15,8080,3400000,56000,95,1,TXN-CIC-00005
Analysis,tcp,smtp,185.56.80.101,25,12000,3400,68,1,TXN-CIC-00006
Shellcode,tcp,http,91.192.100.55,80,560000,34000,91,1,TXN-CIC-00007
Worms,udp,-,194.165.16.11,53,890000,0,84,1,TXN-CIC-00008
Exploits,tcp,http,194.165.16.22,443,120000,5600,87,1,TXN-CIC-00009
Fuzzers,tcp,ssh,195.54.160.149,22,34000,1200,75,1,TXN-CIC-00010
DoS,tcp,http,195.54.160.155,80,780000,0,89,1,TXN-CIC-00011
Reconnaissance,tcp,https,185.56.83.10,443,23000,8900,70,1,TXN-CIC-00012
Backdoors,tcp,ftp,45.142.212.100,21,4500000,67000,96,1,TXN-CIC-00013
Analysis,tcp,smtp,45.142.212.101,25,23000,4500,65,1,TXN-CIC-00014
Exploits,tcp,http,45.153.160.133,80,345000,12300,90,1,TXN-CIC-00015
Shellcode,tcp,https,45.153.160.134,443,234000,23400,93,1,TXN-CIC-00016
Fuzzers,udp,-,198.98.51.189,53,67000,0,76,1,TXN-CIC-00017
DoS,tcp,http,198.98.51.190,80,1200000,0,85,1,TXN-CIC-00018
Reconnaissance,tcp,ssh,185.220.100.240,22,4500,2300,67,1,TXN-CIC-00019
Backdoors,tcp,http,185.220.100.241,8080,5600000,89000,97,1,TXN-CIC-00020
Analysis,tcp,smtp,185.220.100.242,25,34000,5600,64,1,TXN-CIC-00021
Exploits,tcp,http,185.220.100.243,80,456000,12400,88,1,TXN-CIC-00022
Shellcode,tcp,https,185.220.100.244,443,567000,34000,94,1,TXN-CIC-00023
Worms,udp,-,109.70.100.19,53,1200000,0,82,1,TXN-CIC-00024
Exploits,tcp,http,109.70.100.20,80,234000,6700,86,1,TXN-CIC-00025
Fuzzers,tcp,ssh,109.70.100.21,22,56000,1200,73,1,TXN-CIC-00026
DoS,tcp,http,109.70.100.22,80,890000,0,87,1,TXN-CIC-00027
Reconnaissance,tcp,https,185.107.47.215,443,34000,12000,69,1,TXN-CIC-00028
Backdoors,tcp,ftp,185.107.47.216,21,6700000,78000,98,1,TXN-CIC-00029
Analysis,tcp,smtp,185.107.47.217,25,45000,6700,63,1,TXN-CIC-00030
Exploits,tcp,http,185.107.47.218,80,567000,23400,89,1,TXN-CIC-00031
Shellcode,tcp,https,195.206.105.217,443,678000,45000,95,1,TXN-CIC-00032
Worms,udp,-,195.206.105.218,53,1500000,0,83,1,TXN-CIC-00033
Exploits,tcp,http,195.206.105.219,80,345000,7800,87,1,TXN-CIC-00034
Fuzzers,tcp,ssh,199.249.230.87,22,78000,1200,74,1,TXN-CIC-00035
DoS,tcp,http,199.249.230.88,80,1100000,0,88,1,TXN-CIC-00036
Reconnaissance,tcp,https,199.249.230.89,443,45000,14000,71,1,TXN-CIC-00037
Backdoors,tcp,ftp,89.234.157.254,21,7800000,89000,99,1,TXN-CIC-00038
Analysis,tcp,smtp,89.234.157.253,25,56000,7800,62,1,TXN-CIC-00039
Exploits,tcp,http,171.25.193.77,80,678000,34000,90,1,TXN-CIC-00040
Shellcode,tcp,https,171.25.193.78,443,789000,56000,96,1,TXN-CIC-00041
Worms,udp,-,171.25.193.79,53,1800000,0,84,1,TXN-CIC-00042
Exploits,tcp,http,185.220.101.36,80,456000,8900,88,1,TXN-CIC-00043
Fuzzers,tcp,ssh,185.220.101.37,22,89000,2300,75,1,TXN-CIC-00044
DoS,tcp,http,185.220.101.38,80,1300000,0,89,1,TXN-CIC-00045
Reconnaissance,tcp,https,185.220.101.39,443,56000,16000,72,1,TXN-CIC-00046
Backdoors,tcp,ftp,185.220.101.40,21,8900000,91000,99,1,TXN-CIC-00047
Analysis,tcp,smtp,185.220.101.41,25,67000,8900,63,1,TXN-CIC-00048
Exploits,tcp,http,185.220.101.42,80,789000,45000,92,1,TXN-CIC-00049
Shellcode,tcp,https,103.21.58.22,443,890000,67000,97,1,TXN-CIC-00050
-,tcp,http,10.0.0.50,80,1200,890,5,0,TXN-BENIGN-001
-,tcp,https,10.0.0.51,443,3400,2300,4,0,TXN-BENIGN-002
-,udp,-,10.0.0.52,53,200,150,3,0,TXN-BENIGN-003
-,tcp,ftp,10.0.0.53,21,5600,4500,6,0,TXN-BENIGN-004
-,tcp,smtp,10.0.0.54,25,2300,1200,5,0,TXN-BENIGN-005
-,tcp,http,10.0.0.55,80,890,670,4,0,TXN-BENIGN-006
-,tcp,https,10.0.0.56,443,4500,3400,3,0,TXN-BENIGN-007
-,udp,-,10.0.0.57,53,150,100,2,0,TXN-BENIGN-008
-,tcp,http,10.0.0.58,80,2300,1800,5,0,TXN-BENIGN-009
-,tcp,https,10.0.0.59,443,6700,5600,4,0,TXN-BENIGN-010
