source_ip,destination_ip,malicious_domain,flow_label,risk_score,attack_type,protocol
185.220.101.34,10.0.0.1,verify-wallet-support.com,ATTACK,92,Botnet-ARES,TCP
185.220.102.8,10.0.0.2,secure-login-portal-in.net,ATTACK,88,Web-Attack-XSS,HTTP
185.143.223.75,10.0.0.3,gov-epayment-verify.in,ATTACK,91,Infiltration,TCP
91.219.236.90,10.0.0.4,nic-logins-secure.org,ATTACK,87,DoS-Hulk,UDP
91.234.99.42,10.0.0.5,corp-vpn-update.net,ATTACK,85,PortScan,TCP
91.240.118.15,10.0.0.6,mail-auth-check.com,ATTACK,83,Brute-Force,SSH
185.56.80.101,10.0.0.7,phish-payment-update.in,ATTACK,90,Web-Attack-SQLi,HTTP
91.192.100.55,10.0.0.8,verify-bank-login.com,ATTACK,89,Botnet-ARES,TCP
194.165.16.11,10.0.0.9,update-gov-id-verify.com,ATTACK,86,Infiltration,TCP
194.165.16.22,10.0.0.10,corp-wallet-confirm.net,ATTACK,84,Web-Attack-XSS,HTTP
195.54.160.149,10.0.0.11,kyc-verify-alert.in,ATTACK,93,Botnet-ARES,TCP
195.54.160.155,10.0.0.12,account-suspended-verify.com,ATTACK,81,PortScan,TCP
185.56.83.10,10.0.0.13,login-secure-indiabank.net,ATTACK,88,Brute-Force,SSH
45.142.212.100,10.0.0.14,govt-scheme-verify.in,ATTACK,82,Web-Attack-SQLi,HTTP
45.142.212.101,10.0.0.15,tax-refund-verify.in,ATTACK,79,DoS-GoldenEye,UDP
45.153.160.133,10.0.0.16,id-verify-epfo.in,ATTACK,80,Infiltration,TCP
45.153.160.134,10.0.0.17,pf-claim-portal-verify.net,ATTACK,78,Botnet-ARES,TCP
198.98.51.189,10.0.0.18,aadhaar-update-verify.in,ATTACK,91,Web-Attack-XSS,HTTP
198.98.51.190,10.0.0.19,pan-link-alert-india.com,ATTACK,87,Brute-Force,SSH
185.220.100.240,10.0.0.20,irctc-refund-portal.net,ATTACK,85,PortScan,TCP
185.220.100.241,10.0.0.21,fastag-recharge-scam.com,ATTACK,83,Web-Attack-SQLi,HTTP
185.220.100.242,10.0.0.22,upi-wallet-alert.in,ATTACK,90,Botnet-ARES,TCP
185.220.100.243,10.0.0.23,sbi-securelogin-alert.com,ATTACK,88,DoS-Hulk,UDP
185.220.100.244,10.0.0.24,hdfc-kyc-update.net,ATTACK,86,Infiltration,TCP
109.70.100.19,10.0.0.25,icici-verify-now.in,ATTACK,84,Web-Attack-XSS,HTTP
109.70.100.20,10.0.0.26,axis-bank-otp-verify.com,ATTACK,82,Brute-Force,SSH
109.70.100.21,10.0.0.27,paytm-kyc-update.net,ATTACK,80,PortScan,TCP
109.70.100.22,10.0.0.28,phonepe-recharge-scam.in,ATTACK,78,Web-Attack-SQLi,HTTP
185.107.47.215,10.0.0.29,googlepay-verify.in,ATTACK,89,Botnet-ARES,TCP
185.107.47.216,10.0.0.30,amazonpay-refund-alert.com,ATTACK,87,DoS-GoldenEye,UDP
185.107.47.217,10.0.0.31,nsdl-pan-update.in,ATTACK,85,Infiltration,TCP
185.107.47.218,10.0.0.32,uidai-aadhaar-portal.net,ATTACK,83,Web-Attack-XSS,HTTP
195.206.105.217,10.0.0.33,income-tax-refund.in,ATTACK,81,Brute-Force,SSH
195.206.105.218,10.0.0.34,gst-portal-login-secure.com,ATTACK,79,PortScan,TCP
195.206.105.219,10.0.0.35,epfo-member-login.net,ATTACK,77,Web-Attack-SQLi,HTTP
199.249.230.87,10.0.0.36,pmay-scheme-verify.in,ATTACK,76,Botnet-ARES,TCP
199.249.230.88,10.0.0.37,pmkisan-beneficiary.com,ATTACK,74,DoS-Hulk,UDP
199.249.230.89,10.0.0.38,ayushman-bharat-verify.net,ATTACK,72,Infiltration,TCP
89.234.157.254,10.0.0.39,mudra-loan-apply.in,ATTACK,88,Web-Attack-XSS,HTTP
89.234.157.253,10.0.0.40,startup-india-scam.com,ATTACK,86,Brute-Force,SSH
171.25.193.77,10.0.0.41,myscheme-gov-verify.in,ATTACK,84,PortScan,TCP
